"_col0","avg_lifespan_minutes","num_users","new_buildings"
"2017-10-23 00:00:00.000",,"1","3"
"2017-12-03 03:00:00.000","126682.0","1","9"
"2015-05-09 20:00:00.000","1.0","1","2"
"2015-05-09 18:00:00.000",,"1","6"
"2013-12-10 11:00:00.000",,"1","3"
"2013-11-12 06:00:00.000","1412.5777777777778","1","45"
"2015-04-28 09:00:00.000","95995.88888888889","2","10"
"2013-11-09 00:00:00.000","16497.051948051947","3","169"
"2017-07-13 13:00:00.000",,"1","72"
"2013-11-11 15:00:00.000","15076.640211640211","3","339"
"2013-11-08 23:00:00.000","18690.31141868512","5","376"
"2013-11-11 13:00:00.000","43138.8820754717","6","251"
"2013-11-24 15:00:00.000","2002903.75","1","4"
"2015-08-24 14:00:00.000",,"1","1"
"2013-11-10 15:00:00.000","30658.635782747602","6","351"
"2013-02-27 02:00:00.000","377632.0","1","1"
"2016-04-07 10:00:00.000",,"1","3"
"2013-12-10 12:00:00.000","1921076.5","1","4"
"2013-05-03 01:00:00.000","272699.0","1","2"
"2013-11-08 21:00:00.000","7250.629370629371","5","151"
"2013-11-14 05:00:00.000","2571837.0","1","1"
"2013-11-13 07:00:00.000","4378.5","1","2"
"2017-08-27 22:00:00.000",,"1","25"
"2013-05-09 01:00:00.000","266175.0","1","1"
"2013-11-15 21:00:00.000",,"1","23"
"2017-08-22 14:00:00.000",,"1","28"
"2013-11-08 20:00:00.000","34851.15856777494","4","430"
"2017-11-15 17:00:00.000","26680.285714285714","1","14"
"2013-11-09 21:00:00.000","29814.43553008596","4","355"
"2017-11-15 15:00:00.000","171.0","1","13"
"2017-07-17 19:00:00.000","1902.0","1","22"
"2013-11-09 16:00:00.000","29525.436363636363","5","384"
"2013-11-23 01:00:00.000",,"1","1"
"2013-11-14 22:00:00.000","672.0","2","14"
"2013-11-08 22:00:00.000","9491.070063694267","3","157"
"2013-11-20 09:00:00.000",,"1","1"
"2013-11-17 14:00:00.000","1241440.0","1","44"
"2013-11-10 16:00:00.000","4468.138461538461","8","84"
"2013-11-15 00:00:00.000",,"1","3"
"2013-11-14 00:00:00.000","432947.8181818182","3","70"
"2013-11-10 14:00:00.000","5134.962264150943","4","478"
"2013-11-07 22:00:00.000","8065.574074074074","2","110"
"2015-05-15 04:00:00.000",,"1","11"
"2013-07-15 10:00:00.000","177083.0","1","1"
"2013-11-16 16:00:00.000","1803654.6666666667","1","41"
"2013-11-21 17:00:00.000",,"1","28"
"2017-07-21 18:00:00.000",,"1","61"
"2016-11-21 08:00:00.000","222865.5","1","194"
"2013-11-08 14:00:00.000","288427.46233766235","4","410"
"2013-11-12 22:00:00.000","1352.741935483871","2","62"
"2015-07-14 02:00:00.000",,"1","1"
"2015-08-21 15:00:00.000","108522.5","1","2"
"2013-04-22 01:00:00.000","40577.333333333336","1","3"
"2015-04-24 10:00:00.000","778406.0","3","4"
"2013-11-24 19:00:00.000",,"1","3"
"2013-11-15 09:00:00.000","383436.9166666667","2","61"
"2017-07-12 21:00:00.000",,"1","31"
"2013-11-11 17:00:00.000","111221.0421686747","5","534"
"2019-05-02 23:00:00.000",,"1","15"
"2013-11-27 11:00:00.000",,"1","13"
"2013-11-08 09:00:00.000","14718.59976662777","7","932"
"2013-11-11 19:00:00.000","57977.68067226891","2","216"
"2013-11-14 09:00:00.000","396591.375","2","17"
"2017-07-18 21:00:00.000","48964.2","1","110"
