"_col0","lifespan","objects"
"2016-10-04 00:00:00.000","268174.17142857146","193"
"2016-09-13 00:00:00.000","307184.2641509434","253"
"2016-08-02 00:00:00.000","223814.9","66"
"2017-11-22 00:00:00.000","68427.0","306"
"2016-08-15 00:00:00.000","336144.6","71"
"2017-12-06 00:00:00.000","185944.33333333334","70"
"2017-10-03 00:00:00.000","159031.2","41"
"2015-08-03 00:00:00.000","276257.652173913","23"
"2017-12-05 00:00:00.000","235776.0","7"
"2016-10-17 00:00:00.000","36.0","28"
"2016-10-03 00:00:00.000","276250.16","25"
"2017-10-10 00:00:00.000",,"6"
"2018-12-18 00:00:00.000",,"1"
"2016-09-20 00:00:00.000","63407.0","1"
"2017-09-13 00:00:00.000",,"214"
"2016-12-13 00:00:00.000","186127.9090909091","319"
"2016-11-22 00:00:00.000","142310.25","120"
"2016-12-06 00:00:00.000","323347.625","101"
"2017-12-12 00:00:00.000",,"103"
"2016-11-29 00:00:00.000","222005.0","193"
"2016-09-27 00:00:00.000","173431.8023255814","284"
"2013-07-28 00:00:00.000","1737416.7333333334","49"
"2018-11-28 00:00:00.000","14334.0","12"
"2018-11-21 00:00:00.000",,"2"
"2017-08-08 00:00:00.000","4410.0","2"
"2015-08-02 00:00:00.000","1380.0","1"
"2016-04-01 00:00:00.000","258967.71755725192","1660"
"2015-05-22 00:00:00.000","142456.1794871795","289"
"2015-06-11 00:00:00.000","976748.8653846154","52"
"2017-02-26 00:00:00.000","102892.0","168"
"2015-05-08 00:00:00.000","477856.0","2"
"2017-06-02 00:00:00.000",,"263"
"2017-03-24 00:00:00.000","56385.0","8"
"2018-05-13 00:00:00.000",,"1"
"2019-06-02 00:00:00.000","3.0","8"
"2018-03-05 00:00:00.000","40157.0","5"
"2016-05-20 00:00:00.000","299284.5961783439","1944"
"2017-05-07 00:00:00.000","271822.39285714284","346"
"2016-05-21 00:00:00.000","283145.4054054054","240"
"2018-03-11 00:00:00.000","37366.0","34"
"2018-07-16 00:00:00.000",,"1"
"2018-05-27 00:00:00.000",,"2"
"2016-05-07 00:00:00.000","55807.0","2"
"2016-06-01 00:00:00.000","368818.00279589935","2423"
"2016-05-18 00:00:00.000","299152.8937875751","2672"
"2016-05-25 00:00:00.000","366517.3398184176","1713"
"2016-06-06 00:00:00.000","346270.5794392523","2218"
"2018-05-17 00:00:00.000","26660.0","100"
"2018-05-24 00:00:00.000",,"32"
"2018-06-13 00:00:00.000",,"50"
"2018-08-09 00:00:00.000","102286.0","11"
"2017-03-15 00:00:00.000","44403.275862068964","90"
"2017-03-22 00:00:00.000",,"5"
"2017-07-26 00:00:00.000",,"11"
"2018-03-28 00:00:00.000",,"3"
"2016-03-29 00:00:00.000","315766.0","1"
"2019-05-10 00:00:00.000",,"1"
"2016-06-07 00:00:00.000","317573.209439528","2180"
"2017-04-05 00:00:00.000","366151.01851851854","592"
"2016-04-05 00:00:00.000","250980.24921630093","1143"
"2016-05-24 00:00:00.000","246824.65295169948","2653"
