"_col0","lifespan_minutes","changesets","objects"
"2016-08-11 00:00:00.000","134897.1894736842","12","154"
"2016-10-20 00:00:00.000","64722.0","5","16"
"2016-10-27 00:00:00.000","313627.28571428574","14","110"
"2017-08-10 00:00:00.000","3.0","2","2"
"2014-11-04 00:00:00.000","926094.0","1","1"
"2017-08-17 00:00:00.000",,"1","4"
"2013-09-02 00:00:00.000","684345.0","3","3"
"2016-11-02 00:00:00.000","17.0","6","49"
"2016-09-07 00:00:00.000","342374.93684210523","17","537"
"2016-08-17 00:00:00.000","167933.16666666666","7","146"
"2016-09-06 00:00:00.000","206380.82142857142","22","1024"
"2017-08-31 00:00:00.000",,"2","3"
"2015-09-15 00:00:00.000",,"1","12"
"2018-11-15 00:00:00.000",,"1","1"
"2018-08-24 00:00:00.000",,"1","2"
"2017-01-13 00:00:00.000","81476.71428571429","7","155"
"2016-11-04 00:00:00.000","323262.4","10","62"
"2016-08-07 00:00:00.000","133433.19823788546","4","271"
"2015-08-01 00:00:00.000","410413.0","1","1"
"2016-08-14 00:00:00.000","570342.36","5","49"
"2017-01-14 00:00:00.000",,"1","1"
"2017-12-25 00:00:00.000",,"3","24"
"2016-01-15 00:00:00.000","117656.0","1","1"
"2017-08-26 00:00:00.000","155177.0","1","31"
"2017-08-27 00:00:00.000","242604.5","2","4"
"2019-01-06 00:00:00.000",,"1","2"
"2016-08-20 00:00:00.000","347399.0","5","11"
"2016-08-27 00:00:00.000",,"1","1"
"2016-07-31 00:00:00.000","528364.2888888889","11","267"
"2018-08-26 00:00:00.000",,"5","72"
"2015-09-11 00:00:00.000","744584.0","8","13"
"2017-08-13 00:00:00.000","347261.5","6","6"
"2018-12-24 00:00:00.000",,"1","1"
"2014-11-06 00:00:00.000","921541.5","2","2"
"2013-08-16 00:00:00.000","1469657.0","1","7"
"2016-12-25 00:00:00.000","459885.3333333333","11","205"
"2013-09-05 00:00:00.000","1024750.0","12","13"
"2014-11-13 00:00:00.000","669808.6666666666","3","3"
"2016-10-23 00:00:00.000","78477.5","9","77"
"2013-10-31 00:00:00.000","763189.3333333334","2","3"
"2016-12-18 00:00:00.000","36.0","7","198"
"2017-12-17 00:00:00.000",,"2","70"
"2013-06-26 00:00:00.000","1685670.076923077","7","173"
"2015-12-26 00:00:00.000",,"1","1"
"2011-07-05 00:00:00.000","110611.0","1","6"
"2013-08-09 00:00:00.000","1587319.3333333333","2","66"
"2015-08-08 00:00:00.000","571227.3333333334","3","3"
"2013-06-27 00:00:00.000","1590795.6666666667","5","50"
"2016-08-26 00:00:00.000","227506.38461538462","13","91"
"2016-10-16 00:00:00.000","32956.5","6","9"
"2013-08-23 00:00:00.000","411611.6666666667","3","3"
"2017-12-24 00:00:00.000",,"2","2"
"2017-01-06 00:00:00.000","217554.9024390244","4","67"
"2017-11-15 00:00:00.000","107786.6875","53","370"
