"_col0","avg_lifespan_minutes","num_users","edits","objects"
"2013-02-25 00:00:00.000","804214.0666666667","1","18","18"
"2013-04-23 00:00:00.000","289874.875","1","9","9"
"2015-05-06 00:00:00.000","0.75","1","58","54"
"2014-04-29 00:00:00.000","1826982.0","1","6","6"
"2014-04-16 00:00:00.000","566397.0","1","2","2"
"2017-04-14 00:00:00.000",,"1","1","1"
"2015-07-07 00:00:00.000",,"1","1","1"
"2013-12-24 00:00:00.000",,"1","1","1"
"2014-04-22 00:00:00.000","118962.64285714286","2","106","103"
"2014-04-23 00:00:00.000","872833.8333333334","1","21","21"
"2017-02-10 00:00:00.000",,"1","1","1"
"2015-05-05 00:00:00.000","97758.5054945055","2","126","93"
"2013-02-26 00:00:00.000","234062.91304347827","1","24","22"
"2013-03-04 00:00:00.000","322064.0","1","5","5"
"2017-02-16 00:00:00.000","164.0","2","4","3"
"2013-05-06 00:00:00.000","138854.5","1","5","5"
"2013-04-16 00:00:00.000","681609.5","1","2","2"
"2017-02-09 00:00:00.000","1016487.0","1","1","1"
"2009-12-06 00:00:00.000","123361.0","1","1","1"
"2018-04-14 00:00:00.000",,"1","1","1"
"2011-03-16 00:00:00.000","737659.3529411765","1","73","70"
"2013-06-05 00:00:00.000","233088.04761904763","1","23","23"
"2012-03-14 00:00:00.000","572258.7727272727","1","22","22"
"2013-05-29 00:00:00.000","348327.6","1","5","5"
"2012-03-21 00:00:00.000","734365.6666666666","1","3","3"
"2017-03-18 00:00:00.000","338744.0","2","2","2"
"2014-06-04 00:00:00.000","81432.0","1","3","3"
"2018-05-26 00:00:00.000",,"1","1","1"
"2019-03-18 00:00:00.000",,"1","1","1"
"2017-03-25 00:00:00.000",,"1","1","1"
"2016-07-23 00:00:00.000",,"1","1","1"
"2011-03-22 00:00:00.000","1110700.8979591837","1","52","51"
"2017-07-23 00:00:00.000",,"1","8","8"
"2018-03-05 00:00:00.000","240729.5","2","28","28"
"2015-05-08 00:00:00.000","296878.0","2","28","25"
"2013-06-04 00:00:00.000","542169.0769230769","1","22","20"
