"_col0","avg_lifespan_minutes","num_users","edits","objects"
"2014-06-01 06:00:00.000","508230.10714285716","1","56","50"
"2013-11-13 15:00:00.000","5348.135849056604","4","835","835"
"2013-01-19 08:00:00.000","338509.8125","1","17","17"
"2014-08-25 07:00:00.000","807573.5","1","12","11"
"2015-05-02 11:00:00.000","537614.2666666667","1","36","31"
"2013-02-25 03:00:00.000","1478920.0","1","3","3"
"2018-11-22 01:00:00.000","8.076923076923077","1","51","25"
"2017-05-22 05:00:00.000","86311.0","1","18","18"
"2016-10-11 06:00:00.000","1168067.0","1","1","1"
"2015-04-25 08:00:00.000","7641.5","1","3","3"
"2017-05-30 06:00:00.000",,"1","2","2"
"2019-05-27 16:00:00.000",,"1","2","2"
"2013-04-08 00:00:00.000","431357.0","1","2","2"
"2014-04-28 03:00:00.000",,"1","1","1"
"2019-02-07 02:00:00.000",,"1","1","1"
"2013-11-14 13:00:00.000","1397321.0252707582","3","1506","1493"
"2011-02-18 02:00:00.000","283573.4","1","25","25"
"2017-10-08 12:00:00.000","199079.5","1","151","151"
"2011-03-16 13:00:00.000","1065417.9655172413","1","31","31"
"2017-09-15 20:00:00.000","77096.1","1","143","143"
"2013-11-07 15:00:00.000","8152.254385964912","2","499","498"
"2013-11-11 23:00:00.000","21260.48717948718","8","97","96"
"2015-05-05 03:00:00.000","20.5","1","5","3"
"2015-07-11 09:00:00.000","734529.6666666666","2","19","18"
"2017-09-14 19:00:00.000",,"1","61","61"
"2017-07-25 03:00:00.000",,"1","8","8"
"2013-11-09 05:00:00.000","300345.0689655172","2","29","27"
"2013-04-22 00:00:00.000","84023.0","1","3","3"
"2017-01-23 10:00:00.000",,"1","1","1"
"2016-11-28 10:00:00.000","115101.0","1","1","1"
"2017-07-10 09:00:00.000",,"1","2","2"
"2016-08-09 06:00:00.000",,"1","1","1"
"2013-01-19 07:00:00.000","134121.0","1","1","1"
"2015-11-13 01:00:00.000","259079.7","1","20","17"
"2017-11-23 10:00:00.000",,"1","2","2"
"2013-11-12 10:00:00.000","1063169.7777777778","1","16","16"
"2013-11-11 07:00:00.000","3634.722222222222","4","71","71"
"2011-03-20 05:00:00.000","1125283.0217391304","1","46","46"
"2015-03-16 16:00:00.000","1152223.7","1","25","25"
"2013-07-15 09:00:00.000","207939.0","1","15","14"
"2014-04-22 11:00:00.000","194098.33333333334","1","17","17"
"2018-03-25 02:00:00.000","19.0","1","57","53"
"2014-11-28 02:00:00.000","702542.5","1","34","34"
"2015-04-28 13:00:00.000","34108.0","1","14","14"
"2010-03-03 19:00:00.000","53899.555555555555","1","9","9"
"2017-11-25 04:00:00.000","72446.0","1","5","5"
"2015-07-12 17:00:00.000","646897.0","1","8","8"
"2015-05-01 03:00:00.000",,"1","2","2"
"2013-06-14 01:00:00.000","427125.44444444444","1","9","9"
"2013-11-28 02:00:00.000",,"1","2","2"
"2016-03-08 11:00:00.000",,"1","2","2"
"2019-05-25 08:00:00.000",,"1","2","2"
"2013-08-13 06:00:00.000","127650.71428571429","1","7","7"
"2017-11-13 17:00:00.000","83442.0","1","1","1"
"2017-01-11 07:00:00.000",,"1","1","1"
"2014-01-01 07:00:00.000","404.0","1","1","1"
"2011-10-13 18:00:00.000","182921.0","1","1","1"
"2018-10-22 01:00:00.000",,"1","1","1"
"2014-08-15 20:00:00.000",,"1","1","1"
"2017-01-29 20:00:00.000","430984.0","1","1","1"
"2013-11-10 13:00:00.000","4637.0","2","47","47"
"2013-11-13 23:00:00.000","1213443.144171779","4","469","469"
"2015-05-09 19:00:00.000","1404256.8181818181","1","39","39"
"2018-10-05 06:00:00.000","88305.5","6","28","27"
"2015-05-20 05:00:00.000","459544.25","1","23","22"
"2014-09-15 09:00:00.000","837941.4090909091","1","22","22"
"2013-03-13 03:00:00.000","326050.2","1","17","17"
"2013-11-12 07:00:00.000","1534.0","1","4","4"
"2015-05-09 21:00:00.000","719770.0","1","14","14"
"2013-04-17 00:00:00.000","303970.0","1","2","2"
"2017-05-19 06:00:00.000",,"1","3","3"
"2007-03-04 01:00:00.000","895960.0","1","1","1"
"2017-01-16 15:00:00.000","1151192.5","1","32","32"
"2014-07-17 04:00:00.000","294839.5","1","13","12"
"2013-04-18 03:00:00.000","518365.5","1","12","12"
"2017-05-06 21:00:00.000",,"1","9","9"
"2011-03-16 22:00:00.000","382049.4","1","12","12"
"2013-01-24 02:00:00.000","1187056.5","1","2","2"
"2007-03-04 03:00:00.000","895840.0","1","1","1"
"2012-09-16 09:00:00.000","308182.5","1","4","4"
"2014-06-10 06:00:00.000","638476.0","1","1","1"
"2008-07-14 17:00:00.000","58618.333333333336","1","3","3"
"2018-10-11 15:00:00.000",,"1","1","1"
"2018-06-01 06:00:00.000",,"1","1","1"
"2018-01-12 10:00:00.000",,"1","1","1"
"2019-02-25 23:00:00.000",,"1","1","1"
"2017-12-03 03:00:00.000","126674.0","1","33","33"
"2015-05-09 18:00:00.000","412052.5","1","38","37"
"2008-11-15 06:00:00.000",,"1","171","171"
"2014-07-17 02:00:00.000","660984.0","1","22","20"
"2011-03-02 02:00:00.000","847823.1666666666","1","6","6"
"2014-04-26 17:00:00.000","391069.5","1","9","9"
"2016-12-21 11:00:00.000","934345.0","1","6","6"
"2012-04-09 09:00:00.000","799500.7","1","11","11"
"2016-09-11 02:00:00.000","12.0","1","3","2"
"2013-04-18 01:00:00.000","560589.25","1","8","8"
"2010-03-03 17:00:00.000","11364.714285714286","1","7","7"
"2015-05-09 20:00:00.000","1.0","1","11","8"
"2013-04-12 01:00:00.000","715367.4","1","5","5"
"2017-10-23 00:00:00.000",,"1","4","4"
"2011-02-10 15:00:00.000","331347.3333333333","1","3","3"
"2018-12-20 11:00:00.000",,"1","1","1"
"2015-05-14 04:00:00.000","360260.0","1","1","1"
"2016-09-12 18:00:00.000","62871.0","1","1","1"
"2017-11-08 16:00:00.000","7254.0","1","1","1"
"2013-11-16 16:00:00.000","1378621.8125","1","92","92"
"2013-11-10 14:00:00.000","8227.60469667319","4","526","523"
"2013-07-15 10:00:00.000","177658.83636363636","1","58","58"
"2013-11-14 00:00:00.000","325348.675","3","438","436"
"2013-11-10 16:00:00.000","13615.95294117647","8","108","104"
"2013-11-15 00:00:00.000","16051.821656050955","3","632","328"
"2015-05-15 04:00:00.000",,"1","13","13"
"2013-11-07 22:00:00.000","7479.95","2","124","124"
"2017-01-16 16:00:00.000",,"1","11","11"
"2016-08-23 13:00:00.000","808993.0","1","10","10"
"2016-02-20 01:00:00.000",,"1","1","1"
"2013-11-23 16:00:00.000","1637761.0","1","5","5"
"2014-10-14 11:00:00.000",,"1","2","2"
"2015-05-13 10:00:00.000","62914.0","1","3","3"
"2016-08-16 13:00:00.000","681974.0","1","1","1"
"2016-12-01 11:00:00.000","627207.0","1","1","1"
"2012-09-11 06:00:00.000","610022.0","1","2","2"
"2015-04-28 09:00:00.000","142675.6875","2","58","34"
"2013-11-09 00:00:00.000","44107.79289940828","3","184","183"
"2017-03-10 06:00:00.000","898912.3333333334","1","12","12"
"2013-06-11 07:00:00.000","218860.4","1","5","5"
"2017-07-13 13:00:00.000","183081.66666666666","1","145","145"
"2013-11-13 08:00:00.000","111157.61458333333","2","170","168"
"2013-11-12 06:00:00.000","1530.0212765957447","2","47","47"
"2016-08-12 05:00:00.000",,"1","1","1"
"2013-12-10 11:00:00.000","1245884.0","1","9","9"
