"_col0","lifespan","objects"
"2013-07-01 00:00:00.000","2124781.9844559585","256"
"2013-11-04 00:00:00.000",,"1"
"2014-07-07 00:00:00.000","49941.0","1"
"2016-01-18 00:00:00.000","1665187.0","1"
"2014-11-03 00:00:00.000","935924.2","5"
"2014-09-08 00:00:00.000","320405.3333333333","4"
"2012-10-29 00:00:00.000","474936.0","2"
"2013-10-28 00:00:00.000","671121.6666666666","6"
"2013-08-19 00:00:00.000","466327.1666666667","6"
"2014-09-15 00:00:00.000","907375.0","1"
"2013-04-29 00:00:00.000","2132529.288888889","78"
"2012-02-27 00:00:00.000","1522433.6666666667","3"
"2012-12-24 00:00:00.000","3623.0","1"
"2013-05-06 00:00:00.000","1568728.75","8"
"2017-02-13 00:00:00.000","394534.12903225806","451"
"2018-02-19 00:00:00.000","36106.41379310345","150"
"2017-02-06 00:00:00.000","155213.8923076923","614"
"2016-01-25 00:00:00.000","114003.0","2"
"2015-08-31 00:00:00.000","463493.2621359223","123"
"2015-08-10 00:00:00.000","415074.04545454547","22"
"2015-08-24 00:00:00.000","192413.0","2"
"2017-04-03 00:00:00.000","96180.35958762886","16220"
"2018-06-18 00:00:00.000","66108.05555555556","165"
"2017-04-10 00:00:00.000","174997.39253996446","4550"
"2016-06-13 00:00:00.000","281212.4134574693","4893"
"2018-04-09 00:00:00.000","74854.22674418605","994"
"2018-04-16 00:00:00.000","32817.2","666"
"2016-04-11 00:00:00.000","181624.67379679144","1401"
"2018-04-30 00:00:00.000","124583.0","159"
"2017-06-05 00:00:00.000","244051.88","30"
"2017-12-18 00:00:00.000","308376.54285714286","386"
"2015-12-07 00:00:00.000","202809.0909090909","12"
"2013-07-29 00:00:00.000","1557579.046511628","152"
"2015-08-17 00:00:00.000","272743.0","8"
"2014-12-15 00:00:00.000","772773.6363636364","11"
"2014-12-22 00:00:00.000","570181.0","3"
"2015-10-19 00:00:00.000","830600.6","7"
"2013-08-05 00:00:00.000","1754166.3001658374","716"
"2016-01-11 00:00:00.000","245165.0980392157","191"
"2017-01-02 00:00:00.000","314135.152173913","276"
"2013-08-12 00:00:00.000","1898222.5384615385","37"
"2016-12-19 00:00:00.000","239561.1245791246","1690"
"2015-11-30 00:00:00.000","401041.3582089552","173"
"2016-10-10 00:00:00.000","114885.91666666667","205"
"2014-10-06 00:00:00.000","861465.0","9"
"2015-12-21 00:00:00.000","121087.35714285714","15"
"2016-08-15 00:00:00.000","269076.1061151079","1319"
"2016-10-03 00:00:00.000","474964.9579831933","1559"
"2016-10-17 00:00:00.000","205214.83870967742","2296"
"2015-08-03 00:00:00.000","281255.75","74"
"2015-12-14 00:00:00.000","234013.1","26"
"2015-09-21 00:00:00.000","460792.0","1"
"2016-06-06 00:00:00.000","300478.7426870308","10387"
"2014-01-20 00:00:00.000","1907541.0","1"
"2015-06-08 00:00:00.000","976776.5660377359","59"
"2014-01-27 00:00:00.000","654317.0","1"
"2018-11-05 00:00:00.000",,"8"
"2018-08-27 00:00:00.000","1.0","9"
"2018-01-15 00:00:00.000","225327.33333333334","8"
"2019-01-28 00:00:00.000",,"2"
"2019-01-21 00:00:00.000",,"2"
"2016-08-29 00:00:00.000","140905.9779286927","1054"
"2018-01-01 00:00:00.000","528880.8333333334","284"
"2017-08-28 00:00:00.000","243286.5294117647","43"
"2017-08-14 00:00:00.000","218493.3","23"
"2018-11-12 00:00:00.000",,"28"
"2018-01-08 00:00:00.000","86288.5","21"
"2017-11-13 00:00:00.000","196331.56333333332","4050"
"2017-08-21 00:00:00.000","174787.11428571428","399"
"2016-08-22 00:00:00.000","199944.31366906475","1699"
"2017-10-23 00:00:00.000","233510.06666666668","17"
"2018-09-10 00:00:00.000",,"6"
"2013-06-24 00:00:00.000","1684844.9375","267"
"2013-09-02 00:00:00.000","1017315.9545454546","22"
"2014-11-10 00:00:00.000","671776.5","8"
"2011-10-17 00:00:00.000","2005558.0","1"
"2018-10-01 00:00:00.000",,"11"
"2018-09-24 00:00:00.000",,"3"
"2011-08-15 00:00:00.000","47208.666666666664","3"
"2012-10-15 00:00:00.000","1255862.5","2"
"2010-08-02 00:00:00.000","587173.0","1"
"2018-12-03 00:00:00.000",,"82"
"2018-05-28 00:00:00.000","32007.531914893618","422"
"2018-03-12 00:00:00.000","83380.6046511628","181"
"2017-05-29 00:00:00.000","89939.91666666667","307"
"2019-04-08 00:00:00.000",,"1"
"2018-03-19 00:00:00.000","37520.13636363636","259"
"2018-04-02 00:00:00.000","86556.9756097561","258"
"2018-05-21 00:00:00.000","92295.25","529"
"2018-07-30 00:00:00.000",,"18"
"2018-08-13 00:00:00.000","1.0","47"
"2017-05-01 00:00:00.000","269512.8721461187","5404"
"2017-04-24 00:00:00.000","153004.2893772894","4898"
"2016-04-18 00:00:00.000","209305.71618037135","594"
"2016-02-15 00:00:00.000","381871.4799270073","724"
"2017-05-15 00:00:00.000","440400.0","21"
"2017-02-20 00:00:00.000","145920.84905660377","478"
"2015-06-29 00:00:00.000","949894.0","37"
"2018-02-26 00:00:00.000","126285.04","72"
"2015-07-06 00:00:00.000","469211.0625","25"
"2015-02-23 00:00:00.000","646303.0","1"
"2018-08-06 00:00:00.000","113672.44444444444","152"
"2018-03-26 00:00:00.000","96653.63333333333","192"
"2018-07-23 00:00:00.000",,"2"
"2016-05-09 00:00:00.000","232888.10037573805","11903"
"2016-04-25 00:00:00.000","199183.68602825745","6009"
"2016-06-20 00:00:00.000","325761.1594555178","5571"
"2016-07-04 00:00:00.000","259576.94655581948","1972"
"2017-07-03 00:00:00.000","279387.6","239"
"2016-02-29 00:00:00.000","142526.34831460673","95"
"2017-07-17 00:00:00.000","182741.42857142858","135"
"2018-07-09 00:00:00.000","2.0","28"
"2017-07-10 00:00:00.000","219911.44444444444","13"
"2019-04-22 00:00:00.000","41113.0","14"
"2016-06-27 00:00:00.000","281766.14015477215","2898"
"2016-05-02 00:00:00.000","235969.52766106444","4668"
"2017-05-08 00:00:00.000","161473.75","1073"
"2016-07-11 00:00:00.000","404899.4899598394","689"
"2016-02-22 00:00:00.000","252422.42052679384","1350"
"2016-02-08 00:00:00.000","272888.1609195402","136"
"2015-04-20 00:00:00.000","761734.1324786325","350"
"2017-07-24 00:00:00.000","246137.0","29"
"2015-02-09 00:00:00.000","1481998.0","12"
"2018-03-05 00:00:00.000","76920.20512820513","600"
"2019-03-04 00:00:00.000",,"1"
"2019-03-18 00:00:00.000",,"33"
"2019-03-11 00:00:00.000",,"3"
"2018-05-07 00:00:00.000","87858.5","92"
"2019-05-06 00:00:00.000","1476.0","7"
"2018-07-16 00:00:00.000","216624.8","32"
"2019-04-29 00:00:00.000",,"262"
"2019-05-13 00:00:00.000",,"1"
"2017-12-11 00:00:00.000","300788.9090909091","556"
"2017-11-27 00:00:00.000","216506.09016393442","2963"
"2017-01-23 00:00:00.000","163014.13995485328","2848"
"2016-11-07 00:00:00.000","273414.71649484534","2978"
"2018-02-12 00:00:00.000","29407.190476190477","384"
"2017-12-04 00:00:00.000","199761.25","1816"
"2019-02-04 00:00:00.000",,"2"
"2017-09-11 00:00:00.000","712996.9055793991","1557"
"2016-09-19 00:00:00.000","281046.57916241064","3712"
"2016-11-28 00:00:00.000","312833.9073083779","3105"
"2015-09-07 00:00:00.000","634147.0625","26"
"2018-01-29 00:00:00.000",,"4"
"2017-01-16 00:00:00.000","219578.625","843"
"2016-09-12 00:00:00.000","318373.16560509556","1838"
"2016-09-26 00:00:00.000","239655.924330617","2615"
"2017-11-20 00:00:00.000","100917.04651162791","789"
"2017-10-02 00:00:00.000","665658.5714285715","146"
"2015-11-16 00:00:00.000","505109.17647058825","23"
"2018-11-26 00:00:00.000","10754.0","32"
"2015-09-14 00:00:00.000","340531.5","16"
"2017-09-18 00:00:00.000","150987.0","11"
"2018-01-22 00:00:00.000","45052.75","23"
"2014-04-21 00:00:00.000","1181223.3333333333","3"
"2014-04-14 00:00:00.000","1032167.0","10"
"2013-01-28 00:00:00.000","1209368.6842105263","19"
"2014-04-28 00:00:00.000","467701.0","9"
"2013-04-22 00:00:00.000",,"1"
"2013-04-08 00:00:00.000","1663378.2608695652","54"
"2013-06-17 00:00:00.000","401587.0","1"
"2014-02-17 00:00:00.000","1168207.0","2"
"2013-07-22 00:00:00.000","1698092.4533333334","164"
"2013-07-15 00:00:00.000","1819107.0","30"
"2011-07-04 00:00:00.000","103617.18032786885","122"
"2013-09-23 00:00:00.000","685722.25","17"
"2012-12-03 00:00:00.000","1756281.0","1"
"2015-06-01 00:00:00.000","954581.1598639456","472"
"2014-03-24 00:00:00.000","934739.0","1"
"2015-04-06 00:00:00.000","296465.0","2"
"2015-04-13 00:00:00.000","601218.5","2"
"2015-06-22 00:00:00.000","955326.0","1"
"2012-12-31 00:00:00.000","1753713.0","1"
"2014-05-19 00:00:00.000","1307432.0","1"
"2014-03-17 00:00:00.000","577819.0","1"
"2015-06-15 00:00:00.000","974819.0","138"
"2015-03-30 00:00:00.000","1407839.322580645","34"
"2015-03-23 00:00:00.000","568062.1428571428","7"
"2014-03-31 00:00:00.000","924423.8333333334","6"
"2016-01-04 00:00:00.000","351416.0574712644","127"
"2015-12-28 00:00:00.000","441958.1666666667","6"
"2017-04-17 00:00:00.000","205383.82712765958","4767"
"2018-06-25 00:00:00.000","23083.0","138"
"2016-02-01 00:00:00.000","295675.74375","190"
"2019-04-15 00:00:00.000","4.0","43"
"2018-08-20 00:00:00.000","116028.0","161"
"2018-04-23 00:00:00.000","40477.767441860466","353"
"2018-07-02 00:00:00.000",,"22"
